,User,Date Created,Number of Likes,Source of Tweet,Tweet,Polarity,Emotion
0,HealthcareChats,2019-12-31 23:29:14+00:00,0,Twitter for Android,How will you be bringing in 2020? Happiest New Year to all who will be on the clock when it strikes 12....all my healthcare workers I send a special New Year shout out to you  Nurses NewYear NYE2020,"{'neg': 0.058, 'neu': 0.783, 'pos': 0.159, 'compound': 0.6597}",Positive
1,perfidiousSH,2019-12-31 23:20:17+00:00,0,Twitter for iPhone,UCP If the US private medical sector is anything to go by then you can expect a massive rise in costs which come at the expense of the end-user. To call the loss of benefits to healthcare workers a win says everything we need to know about your priorities.,"{'neg': 0.044, 'neu': 0.906, 'pos': 0.05, 'compound': 0.0772}",Positive
2,mundanemajority,2019-12-31 23:16:44+00:00,0,Twitter for iPhone,"REPOBetter then lying to them and promising coal jobs while bailing out their bosses. Now back it with funding &amp; policies that supports all displaced workers throughout America! Solar , healthcare &amp; coding would make sense and it could keep talent and help revitalize communities!","{'neg': 0.06, 'neu': 0.689, 'pos': 0.251, 'compound': 0.8684}",Positive
3,Dustin_Carey,2019-12-31 23:13:53+00:00,1,Twitter for Android,Seriously? The austerity government that's throwing healthcare and education workers out of their jobs for the sake of responsibility is trying to sell an attack on carbon pricing that does return more money to most households?,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.6322}",Negative
4,JustaCoupleinMo,2019-12-31 22:48:17+00:00,10,Twitter for Android,"To any new healthcare workers that are working tonight, depending on your area &amp; location, it can be a tough. When you get off shift, please remember to take care of yourself too. ","{'neg': 0.042, 'neu': 0.806, 'pos': 0.153, 'compound': 0.6124}",Positive
5,yahhello1,2019-12-31 22:30:44+00:00,1,Twitter for iPhone,"The entirety of police should be rescinded, and rebuilt entirely as social workers and healthcare professionals with specialized training. The way they are neither protcts nor serves.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
6,SamGodwell,2019-12-31 22:14:18+00:00,1,Twitter Web App,"guessing it's all those christian values that brought us sadistic policies on the homeless, higher healthcare costs, low wage jobs, weaker workers' rights - because, all those educated christian republicans.","{'neg': 0.144, 'neu': 0.778, 'pos': 0.078, 'compound': -0.3182}",Negative
7,marine93rn15,2019-12-31 22:05:47+00:00,5,Twitter Web App,Great documentary on EBOLA in DRCongo. Many heroes at work UK and local community healthcare workers and response workers fighting Ebola in a war zone.,"{'neg': 0.175, 'neu': 0.712, 'pos': 0.112, 'compound': -0.3182}",Negative
8,michael_muscato,2019-12-31 21:56:49+00:00,0,Twitter Web App,"I have public proposals for education, immigration, environment, healthcare, &amp; equality. All key components to Labor/Trade &amp; our economy/infrastructure. If you are a member of any unions I have spent my time earning their support &amp; working with them on ideas to help our workers.","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.6597}",Positive
9,Epic_Null,2019-12-31 21:41:26+00:00,0,Twitter Web App,"gilfoyle On top of this, our healthcare gets more expensive as people rely on emergency rooms to counter not affording regular care. We also don't require businesses (even large, successful ones) to pay workers a living wage, so people working for Walmart are on food stamps.","{'neg': 0.116, 'neu': 0.786, 'pos': 0.098, 'compound': -0.0072}",Neutral
10,JayYarid,2019-12-31 21:41:04+00:00,1,Dynamic Signal,Companies should invest in the health and wellbeing of their older workers as their aging workforce grows to not only contain healthcare costs but maintain productivity levels. FutureofWork WEF20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
11,DrTonyKam,2019-12-31 21:39:14+00:00,9,Twitter Web App,"Heartfelt thanks to all firefighters, emergency services and volunteers supporting the communities impacted by the fires. Thanks also to our paramedics, ED colleauges and healthcare workers working over the holiday period. Wishing everyone all the very best for 2020.","{'neg': 0.047, 'neu': 0.565, 'pos': 0.388, 'compound': 0.9565}",Positive
12,shanikom,2019-12-31 21:37:15+00:00,3,Twitter for iPhone,"Keep up the good fight! My mom ended up in emergency here in Quebec 9 days ago, surgery last Tuesday... healthcare workers are essential! Over-working them is counterproductive to the wellbeing of our societies!!","{'neg': 0.154, 'neu': 0.775, 'pos': 0.07, 'compound': -0.5374}",Negative
13,nrXic,2019-12-31 21:35:22+00:00,0,Twitter for Android,So do you think reducing overtime pay puts less stress on healthcare workers? Can you point to any other industry where reducing overtime pay meant less stressful workers?,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.77}",Negative
14,CypherNugget,2019-12-31 21:29:48+00:00,1,Twitter for Android,"code No, its an EMPLOYER payroll tax. Also, many companies use Healthcare to blackmail workers. Now they must raise wages or benefits or risk losing them. Cost reduction is the goal of M4All. It removes middle men insurance companies and puts us in line with other countries costs.","{'neg': 0.124, 'neu': 0.829, 'pos': 0.047, 'compound': -0.5106}",Negative
15,ACSLM1,2019-12-31 21:28:38+00:00,15,Twitter for Android,"Wishing medicalscientists , and all healthcare workers a very happy new year. Ath bhliain faoi mhaise. 2020NewYear","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.7089}",Positive
16,nrXic,2019-12-31 21:25:38+00:00,0,Twitter for Android,So you think slashing overtime puts LESS strain on healthcare workers?,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.4595}",Negative
17,ash_ferrara,2019-12-31 20:59:34+00:00,4,Twitter for iPhone,healthcare workers dont need to be on tiktok .... like,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",Positive
18,joeycorvid,2019-12-31 20:59:24+00:00,1,Twitter Web Client,"13,000 Providence healthcare workers preparing to strike | The Stand | The Stand via","{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.128}",Negative
19,sporto505,2019-12-31 20:46:31+00:00,0,Twitter for iPhone,Obamacare doubled NM workers with families healthcare premiums! That is not the way to provide insurance for all. Get a better idea and explain it better and you might get peoples attention,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7263}",Positive
20,RealAARahman,2019-12-31 20:44:11+00:00,63,Twitter for iPhone,"whether in the area of water supply, basic healthcare, primary education, workers welfare, and other basic amenities. We changed the water situation to an appreciable extent, restored some sanity to the primary health sector with hundreds of millions of counterpart funds, and","{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.34}",Positive
21,LawrenceForbe15,2019-12-31 20:38:22+00:00,0,Twitter for Android,"hominid Bernie supports unions.from the 80s on unions have been attacked by wages have stagnated in real dollars since the 70s.Bernie fights for med4all.Most workers,besides you,want to be covered for healthcare.Every other country has single payer. it saves $!","{'neg': 0.124, 'neu': 0.825, 'pos': 0.052, 'compound': -0.5411}",Negative
22,MemoirofRMT,2019-12-31 20:35:47+00:00,37,Twitter for iPhone,To those healthcare workers that is working during New Year! Thank you so much! We are very proud of you! HAPPY HAPPY NEW YEAR!,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.9511}",Positive
23,GrampaDve,2019-12-31 20:29:29+00:00,0,Twitter for iPhone,We will not put front line workers our of work!!! We will improve the healthcare system!!! DO U REMEMBER THOSE PROMISES,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.8127}",Positive
24,TiBachlr,2019-12-31 20:11:19+00:00,3,Twitter Web App,Healthcare workers unite!  in missing parties. Hahaha,"{'neg': 0.149, 'neu': 0.406, 'pos': 0.446, 'compound': 0.6588}",Positive
25,DemsNow20,2019-12-31 20:10:28+00:00,0,Twitter for iPhone,"andiloveall I believe the idea was to force companies to hire so workers could get benefits! A lot of large companies have gone to hire part time so they arent required to pay vacation, reasonable salaries, healthcare etc! It was as I see it created to protect workers that want full time!","{'neg': 0.025, 'neu': 0.807, 'pos': 0.168, 'compound': 0.7891}",Positive
26,StartUpMindset,2019-12-31 20:07:01+00:00,0,MeetEdgar,"Educators, retail workers, construction workers, and healthcare workers all are less likely to spend time working remotely than those in the finance, insurance, and real estate industries, according to Gallup .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
27,Kwaraforall,2019-12-31 20:00:48+00:00,0,Twitter for Android,"We spent substantial part of the outgoing year trying to stabilise a state that was left in ruins because of years of neglect  whether in the area of water supply, basic healthcare, primary education, workers welfare, and other basic amenities, ...","{'neg': 0.129, 'neu': 0.784, 'pos': 0.087, 'compound': -0.4404}",Negative
28,brenda_murban,2019-12-31 19:54:15+00:00,0,Twitter Web App,44% of full-time workers make 18K or less. They don't need a tax credit. They need single payer healthcare funded in part by a payroll tax. Save lives and catch up with the developing world. Brits react to Obamacare era care,"{'neg': 0.046, 'neu': 0.82, 'pos': 0.134, 'compound': 0.6388}",Positive
29,griff_lo,2019-12-31 19:51:24+00:00,0,Twitter for iPad,"Yeah, nurses are so mean they wipe ass for a living. Terrible people. Is the new trend to hate on healthcare workers?","{'neg': 0.338, 'neu': 0.59, 'pos': 0.072, 'compound': -0.8442}",Negative
30,JulieMcCrossin,2019-12-31 19:36:54+00:00,28,Twitter for iPhone,A Chaplain on the south coast of NSW My experience of Chaplains in healthcare is they seek to listen. Its love your neighbour in action. Ive met pastoral care workers &amp; chaplains over many years with Mum in hospitals. Grateful for their kindness.,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.8481}",Positive
31,whatthesamkim,2019-12-31 19:35:14+00:00,12,Twitter for iPhone,be kind to ur healthcare service workers today; ur not the only person who waited 364 days to cash in ur insurance,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.5267}",Positive
32,TOvtcharov,2019-12-31 19:25:38+00:00,6,Twitter for iPhone,In 2020 please Veto A1991 (MenB for college) and S1003 ( flu shot for all healthcare workers) Please Support religious freedom and parental choice votenoS2173 Defend the right of informed consent and the Doctor/Patient relationship. Happy New Year!,"{'neg': 0.051, 'neu': 0.608, 'pos': 0.341, 'compound': 0.9299}",Positive
33,mdmartinowen,2019-12-31 19:22:51+00:00,3,Twitter for iPhone,is uniting healthcare workers on this issue,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
34,Tinkerbellfern,2019-12-31 19:17:48+00:00,1,Twitter for Android,"I wish she would realize that it was not a coincidence that her numbers fell dramatically, soon after. unrolling her Healthcare plan. Its too drastic a burden on insurance company workers, millions out of jobs.","{'neg': 0.077, 'neu': 0.851, 'pos': 0.072, 'compound': -0.0516}",Negative
35,MarxismTonight,2019-12-31 19:13:09+00:00,0,Twitter for iPhone,"Right, because its more profitable for owners to pay their workers as little as possible than to provide decent wages, pensions, healthcare, etc. So its best for owners to outsource jobs when possible and prevent their employees from unionizing. Owners keep more money that way","{'neg': 0.026, 'neu': 0.809, 'pos': 0.165, 'compound': 0.8111}",Positive
36,Secumind_,2019-12-31 19:11:46+00:00,1,Twitter for Android,"democrats The thing is, that there won't be an incentive to deny as much as possible anymore. That means less bureaucracy, even though a part of the insurance company workers will work for the government. The insurance companies just have no benefit for healthcare.","{'neg': 0.132, 'neu': 0.809, 'pos': 0.059, 'compound': -0.4039}",Negative
37,VarsityBroadd,2019-12-31 19:11:43+00:00,2,Twitter Web App,Workers in healthcare who have the same mentality as the girl in this video need to find a new career smh,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.3182}",Negative
38,GDPUKcom,2019-12-31 19:10:02+00:00,0,Buffer,GDPUKmostread2019 incaseyoumissedit - EU workers' qualifications will be recognised after Brexit - dental dentistry news NHS healthcare GDPUK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
39,salimmrashid,2019-12-31 19:09:33+00:00,16,Twitter for Android,"As we usher in 2020 with all the excitement,let's remember healthcare workers on duty and patients in hospital.Tonight led by chair ushers in 2020 at hospital humbled to be part of the special historic day NewYearChallenge","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.4019}",Positive
40,SpotsToby,2019-12-31 18:56:25+00:00,2,Twitter for iPhone, so are you saying Bernie will magically make M4A available on day 1? Wow thats incredible! Maybe it is foolish to think you need a process to revamp and displace healthcare workers after all ? Thanks for the enlightenment,"{'neg': 0.045, 'neu': 0.797, 'pos': 0.158, 'compound': 0.7393}",Positive
41,MilenaRadovicVA,2019-12-31 18:47:38+00:00,0,"Clearview Social, Inc.","The House passed the Workplace Violence Prevention for Health Care and Social Service Workers Act, which had bi-partisan support. If the Bill were passed into law, it would implement many of Californias healthcare workplaceviolence standards. The","{'neg': 0.093, 'neu': 0.773, 'pos': 0.134, 'compound': 0.2023}",Positive
42,syazanafoad,2019-12-31 18:18:42+00:00,1,Twitter for iPhone,Is ur mom a nurse or doctor or healthcare workers? So bagus lahh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
43,educatingtheUSA,2019-12-31 18:17:45+00:00,0,Twitter for iPad,How many healthcare workers will your plan put out of work Comrade?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
44,Toby_fuchs,2019-12-31 18:12:53+00:00,2,Twitter for Android,Also I thought you guys read the Basics of the economy book. You know? Better healthcare = Higher productivity = more and better workers = More Goods being produced and sold = better economy.,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8503}",Positive
45,rgegriff,2019-12-31 18:11:48+00:00,0,Twitter Web App,"And that's just to ensure that workers aren't effectively receiving stealth pay-cuts as the years go on. It's ignoring the fact that things like rent/healthcare increase at a rate FAR, FAR GREATER than inflation.","{'neg': 0.116, 'neu': 0.614, 'pos': 0.27, 'compound': 0.6955}",Positive
46,TheStandWA,2019-12-31 18:01:34+00:00,12,Twitter Web App,Find out what concrete actions you can take to show Providence that you support healthcare workers. ProvidencePatientsBeforeProfits UnionStrong StrikeReady 1u,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}",Positive
47,drpsagar,2019-12-31 18:01:02+00:00,0,Twitter Web App,"Happy, healthy New Year to all my followers, nurses, midwives, &amp; healthcare workers ! HappyNewYear2020 NurseTwitter MedTwitter Nursing Says TCNS ny","{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.7712}",Positive
48,honeyb043,2019-12-31 17:41:12+00:00,4,Twitter for iPhone,"Plz stop thinking you know way more than healthcare workers, plz. Asking for myself.","{'neg': 0.139, 'neu': 0.696, 'pos': 0.165, 'compound': -0.1531}",Negative
49,cohealthapp,2019-12-31 17:30:22+00:00,0,ContentStudio.io,The global shortage of healthcare workers is about 17.4 million. How can A.I fill in this gap and help support the healthcare system and delivery? ehealth healthcare digitalhealth,"{'neg': 0.06, 'neu': 0.778, 'pos': 0.162, 'compound': 0.5267}",Positive
50,smartass_moms,2019-12-31 17:29:51+00:00,1,Twitter for Android,ns No they are WAY underpaid. Our healthcare &amp; childcare are terrible. Our education workers are exponentially underpaid. How are the 3 most important things in this country so ass backward??,"{'neg': 0.259, 'neu': 0.688, 'pos': 0.053, 'compound': -0.8425}",Negative
51,NurseRabbi,2019-12-31 17:27:05+00:00,0,Twitter Web App,Can not condone genocide crimes of foreign nationals those workers have been outlawed by their own birth certificates. Not washing money no drugs allowed anywhere. world healthcare systems on charging war criminals for identity theft. Invading Quackery.DNA all naics.,"{'neg': 0.163, 'neu': 0.796, 'pos': 0.041, 'compound': -0.7725}",Negative
52,galaedit,2019-12-31 17:26:31+00:00,0,Twitter Web Client,is hosting Recruitment Events for Healthcare Support Workers. Please visit,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}",Positive
53,familyonbikes,2019-12-31 17:16:39+00:00,1,Twitter for Android,"True. Definite disdain for workers, but he's right that he shouldn't have to provide healthcare. Decent pay? Yes. Decent working conditions? Yes.","{'neg': 0.112, 'neu': 0.553, 'pos': 0.335, 'compound': 0.8053}",Positive
